64;684
128;1392
256;2040
64;916
128;1224
128;1240
64;572
64;884
128;1668
128;1084
128;1112
64;580
64;704
128;1328
64;988
256;2804
128;992
128;1116
128;1516
32;380
128;1184
64;688
128;1068
64;628
64;1016
256;2200
128;1244
64;728
128;1128
128;1512
128;1104
256;2672
128;1380
64;560
128;1020
32;312
64;912
64;828
32;404
128;1444
64;528
64;560
64;572
128;1100
128;1332
128;1548
128;992
128;1288
128;1392
128;1180
128;1564
64;684
128;1740
128;1096
64;424
128;1408
128;1408
128;1144
64;700
128;1440
128;1972
128;1512
64;864
64;968
128;1520
128;1016
128;1512
64;708
256;2092
32;256
64;908
64;704
128;1656
64;904
256;2152
64;620
128;1224
64;604
64;708
128;1192
256;2940
64;648
128;1356
128;1648
64;604
128;1472
128;1224
128;1012
64;820
256;2184
128;1260
128;1212
64;824
64;628
128;1300
128;1220
128;1552
256;2300
128;1168
64;720
128;0
